tag,Description
approved,Application or petition has been approved
denied,Application or petition has been denied
refused,Visa application refused by consular officer
rejected,Application rejected (e.g.
issued,Visa or document has been issued
RFE,Request for Evidence issued — additional information required
NOID,Notice of Intent to Deny — applicant must rebut to avoid denial
pending,Case currently pending a decision
expired,Status or document has expired
valid,Status or document is currently valid
invalid,Status or document is invalid
not-filed-yet,Application or petition has not yet been filed
withdrawn,Application or petition was withdrawn by the applicant or petitioner
abandoned,Application abandoned (e.g.
revoked,Approved petition or visa was revoked
terminated,Status was terminated (e.g.
administrative-processing,Visa application in administrative processing after interview (often 221(g))
221g,Form 221(g) issued — refusal pending additional documentation/processing
transferred,Case transferred between USCIS service centers
reaffirmed,Previously denied case reaffirmed on motion or appeal
remanded,Case remanded back to the lower adjudicator from BIA/AAO
sustained,Appeal or motion sustained (favorable to applicant)
dismissed,Appeal or motion dismissed
in-progress,Case currently being adjudicated
on-hold,Case placed on hold
received,Filing received by USCIS/DOS/DOL
