tag,Category Description,Category Type,Category Subtype,Relevant Tags,Primary Purpose & Description
IR-1,Immediate Relative - Spouse of U.S. Citizen,Family,Immediate Relative,family-based-immigration,Spouse of a U.S. citizen. No annual limit.
IR-2,Immediate Relative - Unmarried Child of U.S. Citizen,Family,Immediate Relative,family-based-immigration,Unmarried children under 21 of U.S. citizens. No annual limit.
IR-3,Immediate Relative - Orphan Adopted Abroad,Family,Immediate Relative,family-based-immigration,Orphan adopted abroad by a U.S. citizen.
IR-4,Immediate Relative - Orphan to be Adopted in U.S.,Family,Immediate Relative,family-based-immigration,Orphan to be adopted in the U.S. by a U.S. citizen.
IR-5,Immediate Relative - Parent of U.S. Citizen,Family,Immediate Relative,family-based-immigration,Parent of a U.S. citizen (citizen must be 21+). No annual limit.
F1-FAMILY,Family First Preference,Family,First Preference,family-based-immigration,Unmarried adult sons and daughters (21+) of U.S. citizens.
F2A-FAMILY,Family Second Preference - 2A,Family,Second Preference,family-based-immigration,Spouses and unmarried minor children (under 21) of Green Card holders.
F2B-FAMILY,Family Second Preference - 2B,Family,Second Preference,family-based-immigration,Unmarried adult children (21+) of Green Card holders.
F3-FAMILY,Family Third Preference,Family,Third Preference,family-based-immigration,"Married sons and daughters of U.S. citizens, including spouses and minor children."
F4-FAMILY,Family Fourth Preference,Family,Fourth Preference,family-based-immigration,Brothers and sisters of adult U.S. citizens.
EB-1,Employment - Priority Workers,Employment,Priority Workers,employment-based-immigration,"Individuals with extraordinary ability, outstanding professors/researchers, or multinational managers."
EB-1A,Employment - Extraordinary Ability,Employment,Priority Workers,employment-based-immigration,Individuals with extraordinary ability in the sciences/arts/education/business/athletics.
EB-1B,Employment - Outstanding Professors and Researchers,Employment,Priority Workers,employment-based-immigration,Outstanding professors and researchers.
EB-1C,Employment - Multinational Managers or Executives,Employment,Priority Workers,employment-based-immigration,Multinational managers or executives transferring to a U.S. office.
EB-2,Employment - Professionals,Employment,Advanced Degree / Exceptional Ability,employment-based-immigration,Professionals with advanced degrees or exceptional ability. Includes National Interest Waivers.
EB-3,Employment - Skilled & Professionals,Employment,Skilled & Professionals,employment-based-immigration,"Skilled workers (2+ years experience), professionals (Bachelor's), and other workers."
EB-4,Employment - Special Immigrants,Employment,Special Immigrants,employment-based-immigration,"Religious workers, Special Immigrant Juveniles, and certain former U.S. government employees."
EB-5,Employment - Immigrant Investors,Investor,Immigrant Investors,investor-visa,Individuals investing $800k–$1.05M in a new U.S. commercial enterprise that creates 10+ jobs.
DV,Diversity Lottery,Diversity Lottery,Diversity Lottery,diversity-visa-lottery,Lottery for natives of countries with historically low rates of immigration to the U.S.
SIV,Special Immigrant Visa,Special Immigrant,Special Immigrant Visas,siv-immigration,Specifically for Iraqi/Afghan translators or employees who worked for/on behalf of the U.S. Government.
SB-1,Returning Resident,Special Immigrant,Returning Resident,siv-immigration,For LPRs who remained outside the U.S. longer than allowed but for reasons beyond their control.
