tag,Form Name / Purpose
I-9,Employment Eligibility Verification
I-20,Certificate of Eligibility for Nonimmigrant Student Status (F-1/M-1)
I-90,Application to Replace Permanent Resident Card
I-94,Arrival/Departure Record
I-129,"Petition for a Nonimmigrant Worker (H, L, O, P, TN, etc.)"
I-129F,Petition for Alien Fiancé(e)
I-129S,Nonimmigrant Petition Based on Blanket L Petition
I-130,Petition for Alien Relative
I-130A,Supplemental Information for Spouse Beneficiary
I-131,Application for Travel Document (Advance Parole)
I-134,Declaration of Financial Support
I-140,Immigrant Petition for Alien Workers
I-212,Application for Permission to Reapply for Admission after Removal
I-290B,Notice of Appeal or Motion
I-360,Petition for Amerasian/Widow(er)/Special Immigrant
I-485,Application to Register Permanent Residence or Adjust Status
I-485J,Confirmation of Bona Fide Job Offer or Request for Job Portability under INA 204(j)
I-526,Immigrant Petition by Standalone Investor
I-539,Application to Extend/Change Nonimmigrant Status
I-589,Application for Asylum and for Withholding of Removal
I-601,Application for Waiver of Grounds of Inadmissibility
I-601A,Application for Provisional Unlawful Presence Waiver
I-612,Application for Waiver of the Foreign Residence Requirement (J-1)
I-693,Report of Medical Examination and Vaccination Record
I-751,Petition to Remove Conditions on Residence
I-765,Application for Employment Authorization (Work Permit)
I-797,Notice of Action
I-797A,Notice of Action with Replacement I-94
I-797B,Notice of Action - Approval of I-140
I-797C,Notice of Action - Receipt/Rejection/Transfer
I-821,Application for Temporary Protected Status (TPS)
I-821D,Consideration of Deferred Action for Childhood Arrivals (DACA)
I-824,Application for Action on an Approved Application or Petition
I-864,Affidavit of Support
I-864A,Contract Between Sponsor and Household Member
I-907,Request for Premium Processing Service
I-918,Petition for U Nonimmigrant Status (Crime Victims)
I-877,Record of Sworn Statement in Administrative Proceedings — internal document used by CBP/ICE to record formal statements during investigations/enforcement actions
I-263A,Internal/non-public form designation in input; retained pending verification
N-336,Request for a Hearing on a Decision in Naturalization Proceedings
N-400,Application for Naturalization
N-565,Application for Replacement Naturalization/Citizenship Document
N-600,Application for Certificate of Citizenship
AR-11,Alien's Change of Address Card
G-28,Notice of Entry of Appearance as Attorney or Accredited Representative
DS-117,Application to Determine Returning Resident Status
DS-160,Online Nonimmigrant Visa Application
DS-260,Immigrant Visa and Alien Registration Application
DS-261,Online Choice of Address and Agent
DS-2019,Certificate of Eligibility for Exchange Visitor Status (J-1)
DS-3025,Vaccination Documentation Worksheet
DS-5535,Supplemental Questions for Visa Applicants
